# This file contains raw data of the electoral college.

ID,Year,State,Votes
649,1836,Oklahoma,0
650,1836,Oregon,0
651,1836,Pennsylvania,30
652,1836,Rhode Island,4
653,1836,South Carolina,11
654,1836,South Dakota,0
655,1836,Tennessee,15
656,1836,Texas,0
657,1836,Utah,0
658,1836,Vermont,7
659,1836,Virginia,23
660,1836,Washington,0
661,1836,West Virginia,0
662,1836,Wisconsin,0
663,1836,Wyoming,0
664,1840,Alabama,7
665,1840,Alaska,0
666,1840,Arizona,0
667,1840,Arkansas,3
668,1840,California,0
669,1840,Colorado,0
670,1840,Connecticut,8
671,1840,D.C.,0
672,1840,Delaware,3
673,1840,Florida,0
674,1840,Georgia,11
675,1840,Hawaii,0
676,1840,Idaho,0
677,1840,Illinois,5
678,1840,Indiana,9
679,1840,Iowa,0
680,1840,Kansas,0
681,1840,Kentucky,15
682,1840,Louisiana,5
683,1840,Maine,10
684,1840,Maryland,10
685,1840,Massachusetts,14
686,1840,Michigan,3
687,1840,Minnesota,0
688,1840,Mississippi,4
689,1840,Missouri,4
690,1840,Montana,0
691,1840,Nebraska,0
692,1840,Nevada,0
693,1840,New Hampshire,7
694,1840,New Jersey,8
695,1840,New Mexico,0
696,1840,New York,42
697,1840,North Carolina,15
698,1840,North Dakota,0
699,1840,Ohio,21
700,1840,Oklahoma,0
701,1840,Oregon,0
702,1840,Pennsylvania,30
703,1840,Rhode Island,4
704,1840,South Carolina,11
705,1840,South Dakota,0
706,1840,Tennessee,15
707,1840,Texas,0
708,1840,Utah,0
709,1840,Vermont,7
710,1840,Virginia,23
711,1840,Washington,0
712,1840,West Virginia,0
713,1840,Wisconsin,0
714,1840,Wyoming,0
715,1844,Alabama,9
716,1844,Alaska,0
717,1844,Arizona,0
718,1844,Arkansas,3
719,1844,California,0
720,1844,Colorado,0
721,1844,Connecticut,6
722,1844,D.C.,0
723,1844,Delaware,3
724,1844,Florida,0
725,1844,Georgia,10
726,1844,Hawaii,0
727,1844,Idaho,0
728,1844,Illinois,9
729,1844,Indiana,12
730,1844,Iowa,0
731,1844,Kansas,0
732,1844,Kentucky,12
733,1844,Louisiana,6
734,1844,Maine,9
735,1844,Maryland,8
736,1844,Massachusetts,12
737,1844,Michigan,5
738,1844,Minnesota,0
739,1844,Mississippi,6
740,1844,Missouri,7
741,1844,Montana,0
742,1844,Nebraska,0
743,1844,Nevada,0
744,1844,New Hampshire,6
745,1844,New Jersey,7
746,1844,New Mexico,0
747,1844,New York,36
748,1844,North Carolina,11
749,1844,North Dakota,0
750,1844,Ohio,23
751,1844,Oklahoma,0
752,1844,Oregon,0
753,1844,Pennsylvania,26
754,1844,Rhode Island,4
755,1844,South Carolina,9
756,1844,South Dakota,0
757,1844,Tennessee,13
758,1844,Texas,0
759,1844,Utah,0
760,1844,Vermont,6
761,1844,Virginia,17
762,1844,Washington,0
763,1844,West Virginia,0
764,1844,Wisconsin,0
765,1844,Wyoming,0
766,1848,Alabama,9
767,1848,Alaska,0
768,1848,Arizona,0
769,1848,Arkansas,3
770,1848,California,0
771,1848,Colorado,0
772,1848,Connecticut,6
773,1848,D.C.,0
774,1848,Delaware,3
775,1848,Florida,3
776,1848,Georgia,10
777,1848,Hawaii,0
778,1848,Idaho,0
779,1848,Illinois,9
780,1848,Indiana,12
781,1848,Iowa,4
782,1848,Kansas,0
783,1848,Kentucky,12
784,1848,Louisiana,6
785,1848,Maine,9
786,1848,Maryland,8
787,1848,Massachusetts,12
788,1848,Michigan,5
789,1848,Minnesota,0
790,1848,Mississippi,6
791,1848,Missouri,7
792,1848,Montana,0
793,1848,Nebraska,0
794,1848,Nevada,0
795,1848,New Hampshire,6
796,1848,New Jersey,7
797,1848,New Mexico,0
798,1848,New York,36
799,1848,North Carolina,11
800,1848,North Dakota,0
801,1848,Ohio,23
802,1848,Oklahoma,0
803,1848,Oregon,0
804,1848,Pennsylvania,26
805,1848,Rhode Island,4
806,1848,South Carolina,9
807,1848,South Dakota,0
808,1848,Tennessee,13
809,1848,Texas,4
810,1848,Utah,0
811,1848,Vermont,6
812,1848,Virginia,17
813,1848,Washington,0
814,1848,West Virginia,0
815,1848,Wisconsin,4
816,1848,Wyoming,0
817,1852,Alabama,9
818,1852,Alaska,0
819,1852,Arizona,0
820,1852,Arkansas,4
821,1852,California,4
822,1852,Colorado,0
823,1852,Connecticut,6
824,1852,D.C.,0
825,1852,Delaware,3
826,1852,Florida,3
827,1852,Georgia,10
828,1852,Hawaii,0
829,1852,Idaho,0
830,1852,Illinois,11
831,1852,Indiana,13
832,1852,Iowa,4
833,1852,Kansas,0
834,1852,Kentucky,12
835,1852,Louisiana,6
836,1852,Maine,8
837,1852,Maryland,8
838,1852,Massachusetts,13
839,1852,Michigan,6
840,1852,Minnesota,0
841,1852,Mississippi,7
842,1852,Missouri,9
843,1852,Montana,0
844,1852,Nebraska,0
845,1852,Nevada,0
846,1852,New Hampshire,5
847,1852,New Jersey,7
848,1852,New Mexico,0
849,1852,New York,35
850,1852,North Carolina,10
851,1852,North Dakota,0
852,1852,Ohio,23
